scenario,model,gain_std_db,phase_std_deg,snr_db,trials,trial,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,second_peak_azimuth_deg,second_peak_elevation_deg,second_peak_score,peak_to_second_db,azimuth_error_deg,elevation_error_deg
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,17,-40.0,10.0,-40.0,10.0,0.9777221863104192,-50.0,-4.0,0.9718084100904537,0.026348170805766572,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,18,-40.0,10.0,-40.0,10.0,0.9830457095104712,-50.0,-4.0,0.9806264715061421,0.010700994365747962,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,19,-40.0,10.0,-40.0,10.0,0.9878524327079757,-50.0,-4.0,0.9805460188652487,0.03224092952330057,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,0,-20.0,-10.0,-20.0,-10.0,0.9781342599373107,-54.0,-15.0,0.9461140600488526,0.1445497417384376,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,1,-20.0,-10.0,-20.0,-10.0,0.9823986804552078,-23.0,-18.0,0.9539382610644276,0.1276750240754811,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,2,-20.0,-10.0,-20.0,-10.0,0.978580048332681,-54.0,-15.0,0.9532711255620295,0.11379918443524907,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,3,-20.0,-10.0,-20.0,-10.0,0.9772346919299825,-54.0,-15.0,0.9539477236884752,0.10474300043543955,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,4,-20.0,-10.0,-20.0,-10.0,0.9819592010406138,-54.0,-15.0,0.9493334391869855,0.14674665194988615,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,5,-20.0,-10.0,-20.0,-10.0,0.9843455208077981,-23.0,-18.0,0.9537771229032638,0.13700668080759887,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,6,-20.0,-10.0,-20.0,-10.0,0.9813873256230566,-54.0,-15.0,0.9551027057254744,0.11790369487883973,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,7,-20.0,-10.0,-20.0,-10.0,0.9871167765353996,-54.0,-15.0,0.9529085033148577,0.1531733061077561,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,8,-20.0,-10.0,-20.0,-10.0,0.9735937480714549,-54.0,-15.0,0.9400350239810589,0.1523374149351666,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,9,-20.0,-10.0,-20.0,-10.0,0.978618156394415,-54.0,-15.0,0.9442635998672885,0.15520020483071292,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,10,-20.0,-10.0,-20.0,-10.0,0.987473585038115,-23.0,-18.0,0.9657378973805031,0.09666212781325981,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,11,-20.0,-10.0,-20.0,-10.0,0.9798052942249963,-23.0,-18.0,0.9503166575287842,0.13271439951079525,0.0,0.0
