case_id,scenario_id,target_snr_db,pfa,target_range_truth_m,target_velocity_truth_mps,target_rcs_m2,frames,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,mean_target_amplitude,calibration_status,target_range_bin_m,target_velocity_bin_mps,mean_clutter_to_training_db,max_clutter_to_training_db
ss3_upper,v0.3_snr10_pfa0.001,10.0,0.001,20.0,0.3,1.0,41,1.0,0.14634146341463414,1.5617376188860606,0.7808688094430303,1.9979976918854379,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr15_pfa0.01,15.0,0.01,20.0,0.3,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.552998156785166,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.3_snr15_pfa0.001,15.0,0.001,20.0,0.3,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.552998156785166,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-8.696272394460875,0.6571372747421265
ss3_upper,v0.6_snr0_pfa0.01,0.0,0.01,20.0,0.6,1.0,41,0.0,0.2682926829268293,,,0.6267246885690906,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr0_pfa0.001,0.0,0.001,20.0,0.6,1.0,41,0.0,0.14634146341463414,,,0.6267246885690906,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr5_pfa0.01,5.0,0.01,20.0,0.6,1.0,41,0.0,0.2682926829268293,,,1.1144916094454702,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr5_pfa0.001,5.0,0.001,20.0,0.6,1.0,41,0.0,0.14634146341463414,,,1.1144916094454702,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr10_pfa0.01,10.0,0.01,20.0,0.6,1.0,41,1.0,0.2682926829268293,0.0,0.0,1.9818774817380203,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr10_pfa0.001,10.0,0.001,20.0,0.6,1.0,41,1.0,0.14634146341463414,0.0,0.0,1.9818774817380203,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr15_pfa0.01,15.0,0.01,20.0,0.6,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.5243319189945126,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v0.6_snr15_pfa0.001,15.0,0.001,20.0,0.6,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.5243319189945126,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-25.294580075798965,-6.858832836151123
ss3_upper,v1_snr0_pfa0.01,0.0,0.01,20.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.5345270668988906,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr0_pfa0.001,0.0,0.001,20.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.5345270668988906,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr5_pfa0.01,5.0,0.01,20.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.9505384771747949,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr5_pfa0.001,5.0,0.001,20.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.9505384771747949,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr10_pfa0.01,10.0,0.01,20.0,1.0,1.0,41,1.0,0.2682926829268293,0.0,0.0,1.6903230024096905,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr10_pfa0.001,10.0,0.001,20.0,1.0,1.0,41,1.0,0.14634146341463414,0.0,0.0,1.6903230024096905,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr15_pfa0.01,15.0,0.01,20.0,1.0,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.005866591500325,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
ss3_upper,v1_snr15_pfa0.001,15.0,0.001,20.0,1.0,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.005866591500325,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-39.973380065545804,-23.69261932373047
