INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
2150,BOTTOM,,1,4075.1557mil,3322.398mil,19.685mil,23.622mil,RECTANGLE,QIAUKJRE,geometry_only_unconfirmed
2151,BOTTOM,,2,4035.7856mil,3322.398mil,19.685mil,23.622mil,RECTANGLE,KPXXFNTV,geometry_only_unconfirmed
2152,BOTTOM,,1,5130.1187mil,3937.2032mil,68.8976mil,43.3071mil,RECTANGLE,HYDMWCXT,geometry_only_unconfirmed
2153,BOTTOM,,2,5130.1187mil,4043.5024mil,68.8976mil,43.3071mil,RECTANGLE,BNEYTAGH,geometry_only_unconfirmed
2154,BOTTOM,,1,4075.1557mil,3263.3428mil,19.685mil,23.622mil,RECTANGLE,HMUSWKXO,geometry_only_unconfirmed
2155,BOTTOM,,2,4035.7856mil,3263.3428mil,19.685mil,23.622mil,RECTANGLE,IYBOHWTI,geometry_only_unconfirmed
2156,BOTTOM,,2,5057.9507mil,3571.444mil,19.685mil,23.622mil,RECTANGLE,NSQKRXRI,geometry_only_unconfirmed
2157,BOTTOM,,1,5018.5806mil,3571.444mil,19.685mil,23.622mil,RECTANGLE,NKPGLFAS,geometry_only_unconfirmed
2158,BOTTOM,,1,4280.0382mil,3706.814mil,68.8976mil,43.3071mil,RECTANGLE,HGTPOXKG,geometry_only_unconfirmed
2159,BOTTOM,,2,4173.739mil,3706.814mil,68.8976mil,43.3071mil,RECTANGLE,JJOGPOEO,geometry_only_unconfirmed
2160,BOTTOM,,1,5032.1675mil,3968.5865mil,19.685mil,23.622mil,RECTANGLE,JRCMWEBM,geometry_only_unconfirmed
2161,BOTTOM,,2,4992.7974mil,3968.5865mil,19.685mil,23.622mil,RECTANGLE,RMSLMVSA,geometry_only_unconfirmed
2162,BOTTOM,,1,4251.2064mil,3624.1143mil,19.685mil,23.622mil,RECTANGLE,FNKYPBHC,geometry_only_unconfirmed
2163,BOTTOM,,2,4251.2064mil,3584.7442mil,19.685mil,23.622mil,RECTANGLE,IVXHXMFP,geometry_only_unconfirmed
2164,BOTTOM,,1,3441.9239mil,4103.041mil,19.685mil,23.622mil,RECTANGLE,REMXJJXI,geometry_only_unconfirmed
2165,BOTTOM,,2,3441.9239mil,4142.4111mil,19.685mil,23.622mil,RECTANGLE,FVPLAALK,geometry_only_unconfirmed
