truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"0,3,1,2","3,1,0,2",-18.0,-5.0,-28.0,-7.0,0.5787651212721677,False
10.0,2.0,"0,3,1,2","3,1,2,0",33.0,18.0,23.0,16.0,0.5837916530932066,False
10.0,2.0,"0,3,1,2","3,2,0,1",-50.0,-13.0,-60.0,-15.0,0.4495612291355936,False
10.0,2.0,"0,3,1,2","3,2,1,0",2.0,-10.0,-8.0,-12.0,0.5613384343347843,False
10.0,2.0,"0,3,2,1","0,1,2,3",58.0,13.0,48.0,11.0,0.7961521153668819,False
10.0,2.0,"0,3,2,1","0,1,3,2",-35.0,-11.0,-45.0,-13.0,0.8338747337956618,False
10.0,2.0,"0,3,2,1","0,2,1,3",-33.0,20.0,-43.0,18.0,0.7956512718818743,False
10.0,2.0,"0,3,2,1","0,2,3,1",-9.0,15.0,-19.0,13.0,0.5667506655157029,False
10.0,2.0,"0,3,2,1","0,3,1,2",18.0,-5.0,8.0,-7.0,0.7975718967904452,False
10.0,2.0,"0,3,2,1","0,3,2,1",57.0,-9.0,47.0,-11.0,0.813802964826524,False
10.0,2.0,"0,3,2,1","1,0,2,3",-44.0,-11.0,-54.0,-13.0,0.7275334176488907,False
10.0,2.0,"0,3,2,1","1,0,3,2",28.0,-13.0,18.0,-15.0,0.763841710343383,False
10.0,2.0,"0,3,2,1","1,2,0,3",-9.0,-7.0,-19.0,-9.0,0.6453940639464565,False
10.0,2.0,"0,3,2,1","1,2,3,0",-55.0,0.0,-65.0,-2.0,0.5855575472124421,False
10.0,2.0,"0,3,2,1","1,3,0,2",39.0,-13.0,29.0,-15.0,0.8278987602569381,False
10.0,2.0,"0,3,2,1","1,3,2,0",19.0,19.0,9.0,17.0,0.814936073316985,False
10.0,2.0,"0,3,2,1","2,0,1,3",-35.0,-11.0,-45.0,-13.0,0.56140360472867,False
10.0,2.0,"0,3,2,1","2,0,3,1",-13.0,0.0,-23.0,-2.0,0.7598389036298674,False
10.0,2.0,"0,3,2,1","2,1,0,3",15.0,2.0,5.0,0.0,0.8303812567339339,False
10.0,2.0,"0,3,2,1","2,1,3,0",-33.0,-10.0,-43.0,-12.0,0.8207208009662563,False
10.0,2.0,"0,3,2,1","2,3,0,1",25.0,0.0,15.0,-2.0,0.8192379368115874,False
10.0,2.0,"0,3,2,1","2,3,1,0",7.0,5.0,-3.0,3.0,0.77707658524673,False
10.0,2.0,"0,3,2,1","3,0,1,2",-33.0,-10.0,-43.0,-12.0,0.5506905849785807,False
10.0,2.0,"0,3,2,1","3,0,2,1",-58.0,17.0,-68.0,15.0,0.7414250557869779,False
10.0,2.0,"0,3,2,1","3,1,0,2",12.0,12.0,2.0,10.0,0.815818837695972,False
10.0,2.0,"0,3,2,1","3,1,2,0",58.0,-11.0,48.0,-13.0,0.8297830482869044,False
10.0,2.0,"0,3,2,1","3,2,0,1",57.0,7.0,47.0,5.0,0.6311575074417487,False
10.0,2.0,"0,3,2,1","3,2,1,0",6.0,-10.0,-4.0,-12.0,0.7809956630526826,False
10.0,2.0,"1,0,2,3","0,1,2,3",-17.0,-12.0,-27.0,-14.0,0.6463850255874628,False
10.0,2.0,"1,0,2,3","0,1,3,2",-58.0,14.0,-68.0,12.0,0.6546335429818593,False
10.0,2.0,"1,0,2,3","0,2,1,3",-56.0,14.0,-66.0,12.0,0.628335144709755,False
10.0,2.0,"1,0,2,3","0,2,3,1",-42.0,-11.0,-52.0,-13.0,0.46751884044384434,False
10.0,2.0,"1,0,2,3","0,3,1,2",44.0,15.0,34.0,13.0,0.611210145609402,False
10.0,2.0,"1,0,2,3","0,3,2,1",-17.0,12.0,-27.0,10.0,0.64374855732061,False
10.0,2.0,"1,0,2,3","1,0,2,3",-54.0,-11.0,-64.0,-13.0,0.5892092851709713,False
10.0,2.0,"1,0,2,3","1,0,3,2",-56.0,14.0,-66.0,12.0,0.5879620388843784,False
10.0,2.0,"1,0,2,3","1,2,0,3",-47.0,-5.0,-57.0,-7.0,0.5171854224624786,False
10.0,2.0,"1,0,2,3","1,2,3,0",-42.0,0.0,-52.0,-2.0,0.4656595375175672,False
10.0,2.0,"1,0,2,3","1,3,0,2",-28.0,4.0,-38.0,2.0,0.6465966123577724,False
10.0,2.0,"1,0,2,3","1,3,2,0",21.0,4.0,11.0,2.0,0.6351120729137958,False
