case_id,scenario_id,detector,abstract_detection_count,cad_detection_count,delta_detection_count,abstract_stored_point_count,cad_stored_point_count,delta_stored_point_count,abstract_mean_azimuth_deg,cad_mean_azimuth_deg,delta_mean_azimuth_deg,abstract_std_azimuth_deg,cad_std_azimuth_deg,delta_std_azimuth_deg,abstract_mean_elevation_deg,cad_mean_elevation_deg,delta_mean_elevation_deg,abstract_std_elevation_deg,cad_std_elevation_deg,delta_std_elevation_deg
ss2_normal,pfa1e3_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train2,ca_threshold_only,10.0,10.0,0.0,10.0,10.0,0.0,5.0470212294458126,5.034949619294892,-0.01207161015092062,6.878235175793076,6.842960820570759,-0.03527435522231759,-21.66858397837546,21.542980025101464,43.21156400347692,23.77053713973488,23.573777153314285,-0.1967599864205951
ss2_normal,pfa1e4_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train4,ca_threshold_only,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train8,ca_threshold_only,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss2_normal,pfa1e4_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss3_nominal,pfa1e2_train2,ca_cfar_local_peak,5.0,5.0,0.0,5.0,5.0,0.0,3.6614927983930388,3.662630889739418,0.0011380913463794329,4.724578240770176,4.708968343085297,-0.015609897684879748,-6.5735512569524825,6.562136608982134,13.135687865934617,16.134520881796714,16.03729474615514,-0.09722613564157356
ss3_nominal,pfa1e2_train2,ca_threshold_only,312.0,312.0,0.0,256.0,256.0,0.0,-0.21230009105340897,-0.1576174771646777,0.054682613888731274,8.293313272838699,7.910663629763609,-0.38264964307508986,4.2219993667401505,-4.204726712813267,-8.426726079553418,26.721450076552728,26.489775354414967,-0.23167472213776108
ss3_nominal,pfa1e2_train2,fixed_energy_local_peak,9.0,9.0,0.0,9.0,9.0,0.0,3.265474178799605,3.272419236177432,0.006945057377826913,6.693635692142937,6.652482707671755,-0.04115298447118221,-6.306287471773725,6.299735782203721,12.606023253977447,15.922944678459501,15.82010818849654,-0.1028364899629608
ss3_nominal,pfa1e2_train2,os_cfar_local_peak,9.0,9.0,0.0,9.0,9.0,0.0,3.265474178799605,3.272419236177432,0.006945057377826913,6.693635692142937,6.652482707671755,-0.04115298447118221,-6.306287471773725,6.299735782203721,12.606023253977447,15.922944678459501,15.82010818849654,-0.1028364899629608
ss3_nominal,pfa1e2_train4,ca_cfar_local_peak,2.0,2.0,0.0,2.0,2.0,0.0,12.414606598796935,12.381777350118426,-0.03282924867850845,2.207932363050377,2.1910938797831534,-0.01683848326722348,-20.120847809400786,20.05212253877957,40.17297034818036,1.7579527101184382,1.7480835222527542,-0.009869187865684026
ss3_nominal,pfa1e2_train4,ca_threshold_only,924.0,924.0,0.0,256.0,256.0,0.0,0.4475139458223534,0.49360157830868406,0.04608763248633069,7.944589110925835,7.54712497310659,-0.39746413781924517,2.0425579631731767,-2.033003826552621,-4.075561789725798,22.870297978022474,22.65956219574083,-0.21073578228164536
