actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,cfg_candidate,-40.0,10.0,-10.483917389721297,-2.089529783003149,29.5160826102787,-12.08952978300315
ideal_half_lambda,cfg_candidate,-20.0,10.0,-4.923258730199285,-1.8983001386232277,15.076741269800715,-11.898300138623227
ideal_half_lambda,cfg_candidate,0.0,10.0,1.345203396033107,-1.6808673940593342,1.345203396033107,-11.680867394059334
ideal_half_lambda,cfg_candidate,20.0,10.0,7.628505349801286,-1.4634588607305448,-12.371494650198713,-11.463458860730544
ideal_half_lambda,cfg_candidate,40.0,10.0,13.228015595256538,-1.272290523691969,-26.771984404743463,-11.27229052369197
ideal_half_lambda,cfg_candidate,60.0,10.0,17.465434874352873,-1.130409461269906,-42.53456512564713,-11.130409461269906
ideal_half_lambda,cfg_candidate,-60.0,20.0,-12.603617010637745,-3.838138300912021,47.39638298936225,-23.83813830091202
ideal_half_lambda,cfg_candidate,-40.0,20.0,-8.626544337958302,-3.702493147177231,31.3734556620417,-23.70249314717723
ideal_half_lambda,cfg_candidate,-20.0,20.0,-3.3322834512431605,-3.519771639863441,16.66771654875684,-23.519771639863443
ideal_half_lambda,cfg_candidate,0.0,20.0,2.653529166637618,-3.31203184905555,2.653529166637618,-23.31203184905555
ideal_half_lambda,cfg_candidate,20.0,20.0,8.666096372772223,-3.1043356379241502,-11.333903627227777,-23.10433563792415
ideal_half_lambda,cfg_candidate,40.0,20.0,14.030203551778923,-2.9217244820889774,-25.969796448221075,-22.921724482088976
ideal_half_lambda,cfg_candidate,60.0,20.0,18.09059481414499,-2.786204822156966,-41.90940518585501,-22.786204822156968
pcb_copper_centroid,ideal_half_lambda,-60.0,-20.0,-3.0595916623207,-15.878556970372296,56.9404083376793,4.121443029627704
pcb_copper_centroid,ideal_half_lambda,-40.0,-20.0,18.735782256799062,27.938995837372076,58.73578225679906,47.938995837372076
pcb_copper_centroid,ideal_half_lambda,-20.0,-20.0,3.7500266485073634,18.472977694144447,23.750026648507365,38.47297769414445
pcb_copper_centroid,ideal_half_lambda,0.0,-20.0,4.554502235327773,6.070209673235738e-16,4.554502235327773,20.0
pcb_copper_centroid,ideal_half_lambda,20.0,-20.0,-6.247660372449427,-18.472977694145403,-26.247660372449428,1.5270223058545973
pcb_copper_centroid,ideal_half_lambda,40.0,-20.0,32.528604771153155,-27.938995837367408,-7.471395228846845,-7.938995837367408
pcb_copper_centroid,ideal_half_lambda,60.0,-20.0,-37.82461280788168,15.878556970371255,-97.82461280788168,35.87855697037126
pcb_copper_centroid,ideal_half_lambda,-60.0,-10.0,25.54853839273535,-24.02207081386057,85.54853839273535,-14.02207081386057
pcb_copper_centroid,ideal_half_lambda,-40.0,-10.0,-18.705153241835838,9.486678587688498,21.294846758164162,19.4866785876885
pcb_copper_centroid,ideal_half_lambda,-20.0,-10.0,-2.613608786132369,-48.00761200929577,17.386391213867633,-38.00761200929577
pcb_copper_centroid,ideal_half_lambda,0.0,-10.0,-2.031675378066472,-1.3007592156933728e-16,-2.031675378066472,10.0
pcb_copper_centroid,ideal_half_lambda,20.0,-10.0,-3.4616089704811994,48.00761200929544,-23.4616089704812,58.00761200929544
pcb_copper_centroid,ideal_half_lambda,40.0,-10.0,14.407168118890398,-9.486678587691895,-25.592831881109603,0.5133214123081054
pcb_copper_centroid,ideal_half_lambda,60.0,-10.0,21.528028519347462,24.022070813861905,-38.47197148065254,34.0220708138619
pcb_copper_centroid,ideal_half_lambda,-60.0,0.0,-17.587897096503877,48.737018150963436,42.41210290349612,48.737018150963436
pcb_copper_centroid,ideal_half_lambda,-40.0,0.0,12.334807463400724,39.324723439084885,52.33480746340072,39.324723439084885
pcb_copper_centroid,ideal_half_lambda,-20.0,0.0,-37.04461072040678,10.682822005456703,-17.04461072040678,10.682822005456703
