ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
248,5028.0475mil,3283.5981mil, 0.00000000000000E+0000,0805L,C119,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
249,5028.0475mil,3283.5981mil, 0.00000000000000E+0000,0805L,C120,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
250,4407.9579mil,5209.347mil, 9.00000000000000E+0001,0402L,C121,"CAP, CERM, 27 pF, 50 V,+/- 5%, C0G/NP0, AEC-Q200 Grade 1, 0402",Vault,CMP-0860920-1,False,inventory_only
251,4570.6624mil,5512.0832mil, 0.00000000000000E+0000,0805L,C122,"CAP, CERM, 10 uF, 10 V, +/- 10%, X7R, 0805",Vault,CMP-0008017-2,False,inventory_only
252,4645.2049mil,3442.9653mil, 0.00000000000000E+0000,0603L,C123,"CAP, CERM, 2.2 uF, 6.3 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007134-5,False,inventory_only
253,4994.7636mil,3431.842mil, 2.70000000000000E+0002,FP-GCJ188C70J475KE02J_0603-MFG,C124,Cap Ceramic Multilayer 4.7uF 6.3V DC 10% SMD Paper T/R,Vault,CMP-0091520-1,False,inventory_only
254,4967.0456mil,3787.6648mil, 9.00000000000000E+0001,0805_155,C125,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
255,6042.7233mil,2270.2405mil, 2.70000000000000E+0002,0603L,C126,"CAP, CERM, 0.1 uF, 50 V, +/- 10%, X8R, AEC-Q200 Grade 0, 0603",Vault,CMP-0007104-4,False,inventory_only
256,5039.2499mil,3787.6648mil, 9.00000000000000E+0001,0805_155,C127,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
257,3590.5815mil,2531.3118mil, 0.00000000000000E+0000,0402L,C128,"CAP, CERM, 0.1 uF, 50 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006325-2,False,inventory_only
