ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
456,4319.1679mil,4977.7867mil, 9.00000000000000E+0001,0402L,R92,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
457,5299.1827mil,4712.9366mil, 1.80000000000000E+0002,0201L,R94,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
458,5299.1827mil,4802.4246mil, 1.80000000000000E+0002,0201L,R95,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
459,5180.0588mil,4432.5605mil, 2.70000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R96,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
460,4319.1679mil,4845.103mil, 9.00000000000000E+0001,0402L,R97,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
461,5232.3728mil,4585.9364mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R98,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
462,5036.7263mil,3450.5809mil, 1.80000000000000E+0002,0402L,R99,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
463,5240.0575mil,4483.7819mil, 0.00000000000000E+0000,FP-ERJ-1GNF33R2C_0201-MFG,R100,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
464,5232.3728mil,4585.9364mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R101,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
465,5036.7262mil,3486.4656mil, 0.00000000000000E+0000,0402L,R102,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
466,5168.2478mil,4444.3715mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R103,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
467,5123.0412mil,3789.5092mil, 9.00000000000000E+0001,FP-HCJ0603ZT0R00_0603-MFG,R104,RES 0 OHM JUMPER 1/4W 0603,Vault,CMP-0091690-1,False,inventory_only
468,5216.4355mil,4483.7819mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R105,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
469,4955.1492mil,3409.6634mil, 0.00000000000000E+0000,0402L,R106,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
470,5299.1827mil,4741.9326mil, 1.80000000000000E+0002,0201L,R107,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
471,3889.8366mil,5089.0203mil, 2.70000000000000E+0002,0402L,R108,"RES, 470, 1%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026699-1,False,inventory_only
472,5299.1827mil,4770.9286mil, 1.80000000000000E+0002,0201L,R109,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
473,3522.5mil,2496.2411mil, 2.70000000000000E+0002,0402L,R110,"RES, 10, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026827-3,False,inventory_only
474,4424.4994mil,3680.1771mil, 1.80000000000000E+0002,FP-HCJ0603ZT0R00_0603-MFG,R111,RES 0 OHM JUMPER 1/4W 0603,Vault,CMP-0091690-1,False,inventory_only
475,3856.3721mil,5005.7839mil, 0.00000000000000E+0000,0402L,R112,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
476,3830.7815mil,5089.0202mil, 9.00000000000000E+0001,0402L,R113,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
477,3600.0084mil,2618.6485mil, 0.00000000000000E+0000,0201L,R114,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
478,4086.8886mil,3118.5536mil, 1.80000000000000E+0002,0201L,R115,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
479,3941.0177mil,4160.1276mil, 9.00000000000000E+0001,0402L,R117,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
480,3999.1013mil,4160.1276mil, 9.00000000000000E+0001,0402L,R118,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
481,3746.1916mil,5146.0002mil, 1.80000000000000E+0002,1206L,R119,"RES, 1.0 M, 5%, 0.25 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0018610-3,False,inventory_only
482,3862.278mil,4140.4426mil, 1.80000000000000E+0002,0402L,R120,"RES, 470, 1%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026699-1,False,inventory_only
483,5263.2726mil,4517.2543mil, 9.00000000000000E+0001,FP-ERJ-1GNF33R2C_0201-MFG,R121,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
484,5233.0992mil,4655.8237mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R122,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
485,5449.9369mil,3695.5383mil, 1.80000000000000E+0002,0402L,R123,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
486,5449.9369mil,3626.1994mil, 1.80000000000000E+0002,0402L,R124,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
487,4646.0364mil,3361.3972mil, 1.80000000000000E+0002,0402L,R125,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
488,5449.9369mil,3659.941mil, 1.80000000000000E+0002,0402L,R126,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
489,5449.9369mil,3591.6198mil, 1.80000000000000E+0002,0402L,R127,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
490,5434.6375mil,3119.9815mil, 0.00000000000000E+0000,0402L,R128,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
491,5434.0647mil,3167.3761mil, 0.00000000000000E+0000,0402L,R129,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
492,3585.9992mil,4052.8282mil, 1.80000000000000E+0002,1206L,R130,"RES, 1.0 M, 5%, 0.25 W, AEC-Q200 Grade 0, 1206",Vault,CMP-0018610-3,False,inventory_only
493,5767.7092mil,3023.1349mil, 9.00000000000000E+0001,0402L,R131,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
494,4372.3175mil,4977.7867mil, 9.00000000000000E+0001,0402L,R132,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
495,4077.2121mil,3745.171mil, 2.70000000000000E+0002,0402L,R133,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
496,5617.7313mil,3849.6042mil, 9.00000000000000E+0001,0402L,R134,"RES, 49.9, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026404-2,False,inventory_only
497,4065.5573mil,3789.5092mil, 1.80000000000000E+0002,0201L,R135,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
498,5715.2977mil,3023.1349mil, 9.00000000000000E+0001,0402L,R136,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
499,4372.3175mil,4845.103mil, 9.00000000000000E+0001,0402L,R137,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
500,4065.5573mil,3821.0052mil, 1.80000000000000E+0002,0201L,R138,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
501,4565.0977mil,4752.6439mil, 1.80000000000000E+0002,0402L,R139,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
502,5872.778mil,3022.5522mil, 2.70000000000000E+0002,0402L,R140,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
503,4536.3473mil,4977.7181mil, 9.00000000000000E+0001,0402L,R141,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
504,4615.3885mil,4846.4412mil, 9.00000000000000E+0001,0402L,R142,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
505,4621.7619mil,4733.4363mil, 9.00000000000000E+0001,0402L,R143,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
506,4079.1137mil,6487.588mil, 1.80000000000000E+0002,0402L,R144,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
507,4238.6228mil,6698.4572mil, 9.00000000000000E+0001,0402L,R145,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
508,4291.8244mil,6698.4274mil, 9.00000000000000E+0001,0402L,R146,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
509,4343.938mil,6699.1641mil, 9.00000000000000E+0001,0402L,R147,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
510,4449.4797mil,6699.2037mil, 9.00000000000000E+0001,0402L,R148,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
511,4500.5543mil,6699.2037mil, 9.00000000000000E+0001,0402L,R149,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
512,4553.4745mil,6698.4772mil, 9.00000000000000E+0001,0402L,R150,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
513,4817.7842mil,6553.199mil, 0.00000000000000E+0000,0402L,R151,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
514,6171.5568mil,3847.6357mil, 2.70000000000000E+0002,0402L,R152,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
515,4817.7842mil,6502.0179mil, 0.00000000000000E+0000,0402L,R153,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
516,6276.277mil,3694.7888mil, 0.00000000000000E+0000,0402L,R154,"RES, 100, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026993-2,False,inventory_only
517,5721.7506mil,3816.7896mil, 0.00000000000000E+0000,0402L,R155,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
518,5209.076mil,4030.9675mil, 1.80000000000000E+0002,0402L,R156,"RES, 6.04 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026512-2,False,inventory_only
519,4079.1137mil,6292.9772mil, 0.00000000000000E+0000,0402L,R157,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
520,4816.6507mil,6125.047mil, 0.00000000000000E+0000,0402L,R158,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
521,3661.6265mil,6740.2024mil, 2.70000000000000E+0002,0402L,R159,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
522,4817.7842mil,6372.3431mil, 0.00000000000000E+0000,0402L,R160,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
523,6400.5935mil,3607.5516mil, 1.80000000000000E+0002,0603L,R161,"RES, 0, 5%, 0.125 W, 0603",Vault,CMP-0025884-3,False,inventory_only
524,4555.5297mil,5948.7561mil, 2.70000000000000E+0002,0402L,R162,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
525,4079.1137mil,6437.2233mil, 0.00000000000000E+0000,0402L,R163,"RES, 1.00 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026071-3,False,inventory_only
526,4817.7842mil,6323.2998mil, 0.00000000000000E+0000,0402L,R164,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
527,4817.7842mil,6222.7934mil, 0.00000000000000E+0000,0402L,R166,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
528,6075.121mil,3132.8068mil, 0.00000000000000E+0000,0402L,R167,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
529,4065.5573mil,3852.5012mil, 1.80000000000000E+0002,0201L,R168,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
530,4502.1601mil,5948.7561mil, 2.70000000000000E+0002,0402L,R169,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
531,4448.7905mil,5948.7561mil, 2.70000000000000E+0002,0402L,R170,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
532,4396.5769mil,5948.7561mil, 2.70000000000000E+0002,0402L,R171,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
533,5209.0761mil,3998.3029mil, 0.00000000000000E+0000,0402L,R172,"RES, 10.5 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025960-3,False,inventory_only
534,4765.0718mil,4654.3544mil, 9.00000000000000E+0001,0402L,R173,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
535,6338.1664mil,3527.3728mil, 0.00000000000000E+0000,0402L,R174,"RES, 30.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078244-2,False,inventory_only
536,6422.175mil,3411.9445mil, 0.00000000000000E+0000,0603L,R175,"RES, 0, 5%, 0.125 W, 0603",Vault,CMP-0025884-3,False,inventory_only
537,6075.121mil,3032.8068mil, 0.00000000000000E+0000,0402L,R176,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
538,4426.1185mil,2421.1692mil, 9.00000000000000E+0001,0402L,R177,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
539,4669.8457mil,6444.0807mil, 9.00000000000000E+0001,0402L,R179,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
540,4669.8457mil,6552.6236mil, 2.70000000000000E+0002,0402L,R180,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
541,4659.817mil,6199.4197mil, 2.70000000000000E+0002,0402L,R181,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
542,4817.8042mil,6639.1953mil, 1.80000000000000E+0002,0805L,R182,"RES, 0, 5%, 0.125 W, AEC-Q200 Grade 0, 0805",Vault,CMP-0020442-3,False,inventory_only
543,5118.0163mil,6445.7529mil, 0.00000000000000E+0000,0402L,R183,"RES, 100 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025950-3,False,inventory_only
544,4232.0242mil,6132.7244mil, 1.80000000000000E+0002,0402L,R184,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
545,6595.8835mil,3032.8078mil, 0.00000000000000E+0000,0402L,R185,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
546,5069.5766mil,3391.842mil, 0.00000000000000E+0000,0402L,R186,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
547,4232.0242mil,6186.4878mil, 1.80000000000000E+0002,0402L,R187,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
548,5281.0558mil,3231.2133mil, 9.00000000000000E+0001,0201L,R188,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
549,4065.5573mil,3883.9972mil, 1.80000000000000E+0002,0201L,R189,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
550,5036.7263mil,3523.2396mil, 1.80000000000000E+0002,0402L,R190,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
551,4065.5573mil,3915.4932mil, 1.80000000000000E+0002,0201L,R191,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
552,4065.5573mil,3946.9892mil, 1.80000000000000E+0002,0201L,R192,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
553,5038.2656mil,3571.444mil, 0.00000000000000E+0000,0402L,R193,"RES, 33.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026299-2,False,inventory_only
554,5449.3463mil,3555.594mil, 0.00000000000000E+0000,0402L,R194,"RES, 4.87 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026413-2,False,inventory_only
555,4770.6972mil,4861.4828mil, 1.80000000000000E+0002,FP-ERJ-1GNF33R2C_0201-MFG,R195,Res Thick Film 0201 33.2 Ohm 1% 0.05W(1/20W) �200ppm/C Pad SMD Automotive T/R,Vault,CMP-0089575-2,False,inventory_only
556,4054.5337mil,3958.0128mil, 9.00000000000000E+0001,0201L,R196,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
557,3600.0084mil,2681.6405mil, 0.00000000000000E+0000,0201L,R197,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
558,3600.0084mil,2650.1445mil, 0.00000000000000E+0000,0201L,R198,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
559,4232.0242mil,6028.935mil, 0.00000000000000E+0000,0402L,R201,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
560,5118.0163mil,6625.4157mil, 0.00000000000000E+0000,0402L,R202,"RES, 49.9 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026403-2,False,inventory_only
561,5118.0163mil,6572.3827mil, 0.00000000000000E+0000,0402L,R203,"RES, 29.4 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026225-2,False,inventory_only
562,5118.0163mil,6495.611mil, 1.80000000000000E+0002,0402L,R204,"RES, 100 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025950-3,False,inventory_only
563,4232.0242mil,6081.5434mil, 0.00000000000000E+0000,0402L,R205,"RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026890-5,False,inventory_only
564,3598.8232mil,6241.3416mil, 2.70000000000000E+0002,0805L,R206,"RES, 0, 5%, 0.125 W, AEC-Q200 Grade 0, 0805",Vault,CMP-0020442-3,False,inventory_only
565,3700.836mil,6240.512mil, 2.70000000000000E+0002,0805L,R207,"RES, 0, 5%, 0.125 W, AEC-Q200 Grade 0, 0805",Vault,CMP-0020442-3,False,inventory_only
566,3715.9224mil,6403.3482mil, 1.80000000000000E+0002,0402L,R208,"RES, 30.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078244-2,False,inventory_only
567,3441.9239mil,6165.0217mil, 9.00000000000000E+0001,0402L,R209,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
568,4809.583mil,4881.1676mil, 9.00000000000000E+0001,0402L,R211,"RES, 5.76 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026468-2,False,inventory_only
569,5210.7831mil,4208.0353mil, 1.80000000000000E+0002,0201L,R215,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
570,5355.5466mil,3439.3508mil, 0.00000000000000E+0000,0402L,R222,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
571,5177.904mil,3280.8718mil, 9.00000000000000E+0001,0201L,R223,"RES, 0, 5%, 0.05 W, 0201",Vault,CMP-0027008-4,False,inventory_only
572,4077.9588mil,3427.2812mil, 0.00000000000000E+0000,0201_033L,R243,"RES, 4.70 k, 1%, 0.05 W, 0201",Vault,CMP-0027280-3,False,inventory_only
573,3630.3305mil,3449.9977mil, 0.00000000000000E+0000,0201L,R244,"RES, 22, 5%, 0.05 W, AEC-Q200 Grade 1, 0201",Vault,CMP-0027015-3,False,inventory_only
574,5067.3609mil,6136.9155mil, 2.70000000000000E+0002,0402L,R261,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
575,4438.5945mil,3421.7474mil, 9.00000000000000E+0001,0402L,R262,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
576,3580.457mil,3845.0474mil, 1.80000000000000E+0002,0402L,R263,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
577,3501.8084mil,3338.5198mil, 0.00000000000000E+0000,0402L,R264,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
578,3387.129mil,3759.1332mil, 9.00000000000000E+0001,0402L,R266,"RES, 510, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078212-1,False,inventory_only
579,3522.828mil,3408.1636mil, 2.70000000000000E+0002,0402L,R267,"RES, 10, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026827-3,False,inventory_only
580,3426.268mil,3249.1855mil, 1.80000000000000E+0002,0402L,R268,"RES, 10.2, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025964-3,False,inventory_only
581,5805.7134mil,4796.6168mil, 9.00000000000000E+0001,0402L,R269,"RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026992-3,False,inventory_only
582,5945.8712mil,4329.5553mil, 0.00000000000000E+0000,0402L,R271,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
583,5945.8712mil,4283.5396mil, 0.00000000000000E+0000,0402L,R272,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
584,5230.6497mil,4314.8428mil, 1.80000000000000E+0002,0402L,R273,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
585,3499.7934mil,2754.6212mil, 1.80000000000000E+0002,0402L,R276,"RES, 2.94 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026244-2,False,inventory_only
586,3499.7934mil,2713.6212mil, 1.80000000000000E+0002,0402L,R277,"RES, 2.94 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026244-2,False,inventory_only
587,5676.0501mil,4060.5888mil, 2.70000000000000E+0002,0402L,R278,"RES, 100 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025950-3,False,inventory_only
588,5717.0501mil,4060.5888mil, 2.70000000000000E+0002,0402L,R279,"RES, 100 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025950-3,False,inventory_only
589,4509.1635mil,4194.8912mil, 2.70000000000000E+0002,0402L,R280,"RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026890-5,False,inventory_only
590,5075.4116mil,3229.048mil, 1.80000000000000E+0002,0402L,R283,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
591,6165.672mil,3024.5008mil, 2.70000000000000E+0002,0402L,R284,"RES, 330 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078210-2,False,inventory_only
592,6093.2501mil,3024.5007mil, 9.00000000000000E+0001,0402L,R285,"RES, 330 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0078210-2,False,inventory_only
593,4766.8164mil,4749.13mil, 9.00000000000000E+0001,0402L,R286,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
594,4858.4984mil,4604.7335mil, 9.00000000000000E+0001,0402L,R287,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
595,4921.355mil,4604.7804mil, 9.00000000000000E+0001,0402L,R288,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
596,4846.0004mil,4881.1677mil, 2.70000000000000E+0002,0402L,R289,"RES, 2.49 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0026237-2,False,inventory_only
