actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
cfg_candidate,ideal_half_lambda,-60.0,-10.0,21.0,-7.0,0.06312193178889854,81.0,3.0
cfg_candidate,ideal_half_lambda,-40.0,-10.0,60.0,-20.0,0.16016572267782744,100.0,-10.0
cfg_candidate,ideal_half_lambda,-20.0,-10.0,-60.0,-18.0,0.490754072683952,-40.0,-8.0
cfg_candidate,ideal_half_lambda,0.0,-10.0,-2.0,0.0,0.8734914454848369,-2.0,10.0
cfg_candidate,ideal_half_lambda,20.0,-10.0,60.0,19.0,0.6683698325431079,40.0,29.0
cfg_candidate,ideal_half_lambda,40.0,-10.0,-60.0,20.0,0.1042554470364751,-100.0,30.0
cfg_candidate,ideal_half_lambda,60.0,-10.0,-24.0,7.0,0.057942501111295674,-84.0,17.0
cfg_candidate,ideal_half_lambda,-60.0,0.0,21.0,-8.0,0.07010267286034479,81.0,-8.0
cfg_candidate,ideal_half_lambda,-40.0,0.0,60.0,-20.0,0.15551167360715806,100.0,-20.0
cfg_candidate,ideal_half_lambda,-20.0,0.0,-60.0,-19.0,0.6522412153894769,-40.0,-19.0
cfg_candidate,ideal_half_lambda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cfg_candidate,ideal_half_lambda,20.0,0.0,60.0,19.0,0.6522412153894787,40.0,19.0
cfg_candidate,ideal_half_lambda,40.0,0.0,-60.0,20.0,0.155511673607157,-100.0,20.0
cfg_candidate,ideal_half_lambda,60.0,0.0,-21.0,8.0,0.0701026728603426,-81.0,8.0
cfg_candidate,ideal_half_lambda,-60.0,10.0,24.0,-7.0,0.057942501111298866,84.0,-17.0
cfg_candidate,ideal_half_lambda,-40.0,10.0,60.0,-20.0,0.10425544703647485,100.0,-30.0
cfg_candidate,ideal_half_lambda,-20.0,10.0,-60.0,-19.0,0.6683698325431088,-40.0,-29.0
cfg_candidate,ideal_half_lambda,0.0,10.0,2.0,0.0,0.8734914454848434,2.0,-10.0
cfg_candidate,ideal_half_lambda,20.0,10.0,60.0,18.0,0.4907540726839551,40.0,8.0
cfg_candidate,ideal_half_lambda,40.0,10.0,-60.0,20.0,0.16016572267782786,-100.0,10.0
cfg_candidate,ideal_half_lambda,60.0,10.0,-21.0,7.0,0.06312193178889909,-81.0,-3.0
cfg_candidate,ideal_half_lambda,-60.0,20.0,32.0,-5.0,0.03419094709867261,92.0,-25.0
cfg_candidate,ideal_half_lambda,-40.0,20.0,-19.0,-20.0,0.24819668342278023,21.0,-40.0
cfg_candidate,ideal_half_lambda,-20.0,20.0,27.0,-19.0,0.6805244034631318,47.0,-39.0
cfg_candidate,ideal_half_lambda,0.0,20.0,3.0,0.0,0.5876887294244789,3.0,-20.0
cfg_candidate,ideal_half_lambda,20.0,20.0,-32.0,19.0,0.5712697954461119,-52.0,-1.0
cfg_candidate,ideal_half_lambda,40.0,20.0,14.0,20.0,0.27364756833614323,-26.0,0.0
cfg_candidate,ideal_half_lambda,60.0,20.0,51.0,5.0,0.04339387501287482,-9.0,-15.0
cfg_candidate,cfg_candidate,-60.0,-20.0,-60.0,-20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-40.0,-20.0,-40.0,-20.0,1.0,0.0,0.0
cfg_candidate,cfg_candidate,-20.0,-20.0,-20.0,-20.0,0.9999999999999998,0.0,0.0
cfg_candidate,cfg_candidate,0.0,-20.0,0.0,-20.0,0.9999999999999996,0.0,0.0
cfg_candidate,cfg_candidate,20.0,-20.0,20.0,-20.0,1.0,0.0,0.0
