model,azimuth_deg,elevation_deg,power_linear
ideal_v04,-50.0,-4.0,0.06717152707305872
ideal_v04,-50.0,-3.0,0.06884349792900817
ideal_v04,-50.0,-2.0,0.07005580030675149
ideal_v04,-50.0,-1.0,0.07079044366273464
ideal_v04,-50.0,0.0,0.07103653976919036
ideal_v04,-50.0,1.0,0.07079044366273456
ideal_v04,-50.0,2.0,0.07005580030675149
ideal_v04,-50.0,3.0,0.06884349792900814
ideal_v04,-50.0,4.0,0.06717152707305866
ideal_v04,-50.0,5.0,0.06506474262024033
ideal_v04,-50.0,6.0,0.06255452467229017
ideal_v04,-50.0,7.0,0.059678333481794216
ideal_v04,-50.0,8.0,0.05647915378692727
ideal_v04,-50.0,9.0,0.05300482510062758
ideal_v04,-50.0,10.0,0.049307256805955386
ideal_v04,-50.0,11.0,0.045441530322824164
ideal_v04,-50.0,12.0,0.041464895053618216
ideal_v04,-50.0,13.0,0.03743567011367167
ideal_v04,-50.0,14.0,0.03341206974688463
ideal_v04,-50.0,15.0,0.029450976477314688
ideal_v04,-50.0,16.0,0.02560669205015214
ideal_v04,-50.0,17.0,0.021929701622165936
ideal_v04,-50.0,18.0,0.018465491007726098
ideal_v04,-50.0,19.0,0.015253459621738734
ideal_v04,-50.0,20.0,0.012325972684120216
ideal_v04,-49.0,-20.0,0.012151520520693022
ideal_v04,-49.0,-19.0,0.015090948909224357
ideal_v04,-49.0,-18.0,0.018330449467322044
ideal_v04,-49.0,-17.0,0.021839148936520298
ideal_v04,-49.0,-16.0,0.025578473383221216
ideal_v04,-49.0,-15.0,0.029503031106932094
ideal_v04,-49.0,-14.0,0.03356166797729844
ideal_v04,-49.0,-13.0,0.037698652885412444
ideal_v04,-49.0,-12.0,0.04185495025535961
ideal_v04,-49.0,-11.0,0.04596953783304264
ideal_v04,-49.0,-10.0,0.04998073092136737
ideal_v04,-49.0,-9.0,0.05382747846881563
ideal_v04,-49.0,-8.0,0.05745060151473766
ideal_v04,-49.0,-7.0,0.06079395002099251
ideal_v04,-49.0,-6.0,0.06380545967481512
ideal_v04,-49.0,-5.0,0.06643809548176333
ideal_v04,-49.0,-4.0,0.06865067359854579
ideal_v04,-49.0,-3.0,0.07040855668177545
ideal_v04,-49.0,-2.0,0.07168422093411272
ideal_v04,-49.0,-1.0,0.07245769498322721
ideal_v04,-49.0,0.0,0.07271687178119919
ideal_v04,-49.0,1.0,0.07245769498322714
ideal_v04,-49.0,2.0,0.07168422093411272
ideal_v04,-49.0,3.0,0.07040855668177548
ideal_v04,-49.0,4.0,0.06865067359854582
ideal_v04,-49.0,5.0,0.06643809548176333
ideal_v04,-49.0,6.0,0.06380545967481512
ideal_v04,-49.0,7.0,0.0607939500209925
ideal_v04,-49.0,8.0,0.05745060151473769
ideal_v04,-49.0,9.0,0.05382747846881563
ideal_v04,-49.0,10.0,0.049980730921367386
ideal_v04,-49.0,11.0,0.045969537833042654
ideal_v04,-49.0,12.0,0.04185495025535967
ideal_v04,-49.0,13.0,0.03769865288541241
ideal_v04,-49.0,14.0,0.03356166797729844
ideal_v04,-49.0,15.0,0.029503031106932153
ideal_v04,-49.0,16.0,0.025578473383221233
ideal_v04,-49.0,17.0,0.02183914893652028
ideal_v04,-49.0,18.0,0.01833044946732203
ideal_v04,-49.0,19.0,0.01509094890922432
ideal_v04,-49.0,20.0,0.012151520520693019
ideal_v04,-48.0,-20.0,0.011866858014160968
ideal_v04,-48.0,-19.0,0.014791057693507158
ideal_v04,-48.0,-18.0,0.01802812961340799
ideal_v04,-48.0,-17.0,0.021549036369871367
ideal_v04,-48.0,-16.0,0.02531644550678961
ideal_v04,-48.0,-15.0,0.029285533909720194
ideal_v04,-48.0,-14.0,0.03340499636942026
ideal_v04,-48.0,-13.0,0.03761821805949803
ideal_v04,-48.0,-12.0,0.041864568237362926
ideal_v04,-48.0,-11.0,0.046080772103615955
ideal_v04,-48.0,-10.0,0.05020231919248786
ideal_v04,-48.0,-9.0,0.054164869585814034
ideal_v04,-48.0,-8.0,0.05790562326748043
ideal_v04,-48.0,-7.0,0.06136462266838403
ideal_v04,-48.0,-6.0,0.06448596350848664
ideal_v04,-48.0,-5.0,0.067218894072914
ideal_v04,-48.0,-4.0,0.06951878776930975
ideal_v04,-48.0,-3.0,0.07134797797985455
ideal_v04,-48.0,-2.0,0.07267644769794293
ideal_v04,-48.0,-1.0,0.07348236916185634
ideal_v04,-48.0,0.0,0.07375249067934873
ideal_v04,-48.0,1.0,0.0734823691618563
ideal_v04,-48.0,2.0,0.07267644769794299
ideal_v04,-48.0,3.0,0.07134797797985458
ideal_v04,-48.0,4.0,0.06951878776930968
ideal_v04,-48.0,5.0,0.06721889407291397
ideal_v04,-48.0,6.0,0.06448596350848661
ideal_v04,-48.0,7.0,0.061364622668384
ideal_v04,-48.0,8.0,0.05790562326748039
ideal_v04,-48.0,9.0,0.054164869585813985
ideal_v04,-48.0,10.0,0.0502023191924879
ideal_v04,-48.0,11.0,0.04608077210361597
ideal_v04,-48.0,12.0,0.041864568237362926
ideal_v04,-48.0,13.0,0.037618218059498054
ideal_v04,-48.0,14.0,0.03340499636942021
ideal_v04,-48.0,15.0,0.029285533909720187
ideal_v04,-48.0,16.0,0.025316445506789638
ideal_v04,-48.0,17.0,0.02154903636987135
ideal_v04,-48.0,18.0,0.018028129613408012
ideal_v04,-48.0,19.0,0.014791057693507144
