actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak
ideal_half_lambda,cfg_candidate,0.0,-20.0,-36.0,36.0,-36.0,56.0,0.8722654018404836
ideal_half_lambda,cfg_candidate,20.0,-20.0,-28.0,38.0,-48.0,58.0,0.9698087294309875
ideal_half_lambda,cfg_candidate,40.0,-20.0,-22.0,-40.0,-62.0,-20.0,0.9029422999086275
ideal_half_lambda,cfg_candidate,60.0,-20.0,-16.0,38.0,-76.0,58.0,0.772173668429529
ideal_half_lambda,cfg_candidate,-60.0,-10.0,-18.0,2.0,42.0,12.0,0.7604024175414903
ideal_half_lambda,cfg_candidate,-40.0,-10.0,-14.0,2.0,26.0,12.0,0.8929806861336236
ideal_half_lambda,cfg_candidate,-20.0,-10.0,-8.0,2.0,12.0,12.0,0.9633798049456475
ideal_half_lambda,cfg_candidate,0.0,-10.0,-2.0,2.0,-2.0,12.0,0.843032518759674
ideal_half_lambda,cfg_candidate,20.0,-10.0,-24.0,34.0,-44.0,44.0,0.7799553666736845
ideal_half_lambda,cfg_candidate,40.0,-10.0,-18.0,36.0,-58.0,46.0,0.8809929357866751
ideal_half_lambda,cfg_candidate,60.0,-10.0,-12.0,34.0,-72.0,44.0,0.8558155537288318
ideal_half_lambda,cfg_candidate,-60.0,0.0,-4.0,32.0,56.0,32.0,0.735651525219806
ideal_half_lambda,cfg_candidate,-40.0,0.0,0.0,32.0,40.0,32.0,0.6708995366043826
ideal_half_lambda,cfg_candidate,-20.0,0.0,-6.0,0.0,14.0,0.0,0.8909373633041475
ideal_half_lambda,cfg_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ideal_half_lambda,cfg_candidate,20.0,0.0,6.0,0.0,-14.0,0.0,0.8909373633041482
ideal_half_lambda,cfg_candidate,40.0,0.0,0.0,-32.0,-40.0,-32.0,0.670899536604382
ideal_half_lambda,cfg_candidate,60.0,0.0,4.0,-32.0,-56.0,-32.0,0.7356515252198104
ideal_half_lambda,cfg_candidate,-60.0,10.0,12.0,-34.0,72.0,-44.0,0.855815553728831
ideal_half_lambda,cfg_candidate,-40.0,10.0,18.0,-36.0,58.0,-46.0,0.8809929357866751
ideal_half_lambda,cfg_candidate,-20.0,10.0,24.0,-34.0,44.0,-44.0,0.7799553666736833
ideal_half_lambda,cfg_candidate,0.0,10.0,2.0,-2.0,2.0,-12.0,0.8430325187596731
ideal_half_lambda,cfg_candidate,20.0,10.0,8.0,-2.0,-12.0,-12.0,0.9633798049456472
ideal_half_lambda,cfg_candidate,40.0,10.0,14.0,-2.0,-26.0,-12.0,0.8929806861336234
ideal_half_lambda,cfg_candidate,60.0,10.0,18.0,-2.0,-42.0,-12.0,0.760402417541493
ideal_half_lambda,cfg_candidate,-60.0,20.0,16.0,-38.0,76.0,-58.0,0.7721736684295296
ideal_half_lambda,cfg_candidate,-40.0,20.0,22.0,40.0,62.0,20.0,0.9029422999086266
ideal_half_lambda,cfg_candidate,-20.0,20.0,28.0,-38.0,48.0,-58.0,0.9698087294309878
ideal_half_lambda,cfg_candidate,0.0,20.0,36.0,-36.0,36.0,-56.0,0.8722654018404827
ideal_half_lambda,cfg_candidate,20.0,20.0,8.0,-2.0,-12.0,-22.0,0.7367646128757765
ideal_half_lambda,cfg_candidate,40.0,20.0,14.0,-2.0,-26.0,-22.0,0.8615488142106056
ideal_half_lambda,cfg_candidate,60.0,20.0,18.0,-2.0,-42.0,-22.0,0.8630452328881778
pcb_copper_centroid,ideal_half_lambda,-60.0,-20.0,-4.0,-16.0,56.0,4.0,0.7440544907516548
pcb_copper_centroid,ideal_half_lambda,-40.0,-20.0,18.0,28.0,58.0,48.0,0.6672621199369104
pcb_copper_centroid,ideal_half_lambda,-20.0,-20.0,4.0,18.0,24.0,38.0,0.9325861970366208
pcb_copper_centroid,ideal_half_lambda,0.0,-20.0,-46.0,0.0,-46.0,20.0,0.690204980070993
pcb_copper_centroid,ideal_half_lambda,20.0,-20.0,-6.0,-18.0,-26.0,2.0,0.9825198535883347
pcb_copper_centroid,ideal_half_lambda,40.0,-20.0,-80.0,-26.0,-120.0,-6.0,0.7593512142449892
pcb_copper_centroid,ideal_half_lambda,60.0,-20.0,58.0,16.0,-2.0,36.0,0.7150195441052261
pcb_copper_centroid,ideal_half_lambda,-60.0,-10.0,26.0,-24.0,86.0,-14.0,0.8010707081402608
pcb_copper_centroid,ideal_half_lambda,-40.0,-10.0,-18.0,10.0,22.0,20.0,0.753560285601434
pcb_copper_centroid,ideal_half_lambda,-20.0,-10.0,-2.0,-40.0,18.0,-30.0,0.7919556093817027
pcb_copper_centroid,ideal_half_lambda,0.0,-10.0,-2.0,0.0,-2.0,10.0,0.8957995614294412
pcb_copper_centroid,ideal_half_lambda,20.0,-10.0,-2.0,40.0,-22.0,50.0,0.8802307922610756
pcb_copper_centroid,ideal_half_lambda,40.0,-10.0,14.0,-10.0,-26.0,0.0,0.9619788480811036
pcb_copper_centroid,ideal_half_lambda,60.0,-10.0,80.0,24.0,20.0,34.0,0.8162691028350753
pcb_copper_centroid,ideal_half_lambda,-60.0,0.0,-18.0,40.0,42.0,40.0,0.5536051822355754
pcb_copper_centroid,ideal_half_lambda,-40.0,0.0,12.0,40.0,52.0,40.0,0.9744369882575139
pcb_copper_centroid,ideal_half_lambda,-20.0,0.0,-36.0,10.0,-16.0,10.0,0.908907354787732
pcb_copper_centroid,ideal_half_lambda,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pcb_copper_centroid,ideal_half_lambda,20.0,0.0,36.0,-10.0,16.0,-10.0,0.9089073547877318
pcb_copper_centroid,ideal_half_lambda,40.0,0.0,-12.0,-40.0,-52.0,-40.0,0.9744369882575141
pcb_copper_centroid,ideal_half_lambda,60.0,0.0,18.0,-40.0,-42.0,-40.0,0.5536051822355798
pcb_copper_centroid,ideal_half_lambda,-60.0,10.0,-80.0,-24.0,-20.0,-34.0,0.8162691028350765
pcb_copper_centroid,ideal_half_lambda,-40.0,10.0,-14.0,10.0,26.0,0.0,0.9619788480811036
pcb_copper_centroid,ideal_half_lambda,-20.0,10.0,2.0,-40.0,22.0,-50.0,0.8802307922610765
pcb_copper_centroid,ideal_half_lambda,0.0,10.0,2.0,0.0,2.0,-10.0,0.8957995614294387
pcb_copper_centroid,ideal_half_lambda,20.0,10.0,2.0,40.0,-18.0,30.0,0.7919556093817025
pcb_copper_centroid,ideal_half_lambda,40.0,10.0,18.0,-10.0,-22.0,-20.0,0.7535602856014324
pcb_copper_centroid,ideal_half_lambda,60.0,10.0,-26.0,24.0,-86.0,14.0,0.8010707081402596
pcb_copper_centroid,ideal_half_lambda,-60.0,20.0,-58.0,-16.0,2.0,-36.0,0.7150195441052289
pcb_copper_centroid,ideal_half_lambda,-40.0,20.0,80.0,26.0,120.0,6.0,0.7593512142449897
pcb_copper_centroid,ideal_half_lambda,-20.0,20.0,6.0,18.0,26.0,-2.0,0.9825198535883339
pcb_copper_centroid,ideal_half_lambda,0.0,20.0,46.0,0.0,46.0,-20.0,0.6902049800709928
pcb_copper_centroid,ideal_half_lambda,20.0,20.0,-4.0,-18.0,-24.0,-38.0,0.9325861970366203
pcb_copper_centroid,ideal_half_lambda,40.0,20.0,-18.0,-28.0,-58.0,-48.0,0.6672621199369108
pcb_copper_centroid,ideal_half_lambda,60.0,20.0,4.0,16.0,-56.0,-4.0,0.7440544907516553
pcb_copper_centroid,pcb_copper_centroid,-60.0,-20.0,-60.0,-20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-40.0,-20.0,-40.0,-20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-20.0,-20.0,-20.0,-20.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,0.0,-20.0,0.0,-20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,20.0,-20.0,20.0,-20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,40.0,-20.0,40.0,-20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,60.0,-20.0,60.0,-20.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,-60.0,-10.0,-60.0,-10.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-40.0,-10.0,-40.0,-10.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-20.0,-10.0,-20.0,-10.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,0.0,-10.0,0.0,-10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,20.0,-10.0,20.0,-10.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,40.0,-10.0,40.0,-10.0,0.0,0.0,0.9999999999999997
pcb_copper_centroid,pcb_copper_centroid,60.0,-10.0,60.0,-10.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,-60.0,0.0,-60.0,0.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-40.0,0.0,-40.0,0.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-20.0,0.0,-20.0,0.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,20.0,0.0,20.0,0.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,40.0,0.0,40.0,0.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,60.0,0.0,60.0,0.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,-60.0,10.0,-60.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,-40.0,10.0,-40.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,-20.0,10.0,-20.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,0.0,10.0,0.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,20.0,10.0,20.0,10.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,40.0,10.0,40.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,60.0,10.0,60.0,10.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,-60.0,20.0,-60.0,20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,-40.0,20.0,-40.0,20.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,pcb_copper_centroid,-20.0,20.0,-20.0,20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,0.0,20.0,0.0,20.0,0.0,0.0,1.0
pcb_copper_centroid,pcb_copper_centroid,20.0,20.0,20.0,20.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,40.0,20.0,40.0,20.0,0.0,0.0,1.0000000000000002
pcb_copper_centroid,pcb_copper_centroid,60.0,20.0,60.0,20.0,0.0,0.0,0.9999999999999998
pcb_copper_centroid,rf_endpoint_candidate,-60.0,-20.0,-60.0,-20.0,0.0,0.0,0.9867918254841554
pcb_copper_centroid,rf_endpoint_candidate,-40.0,-20.0,-54.0,10.0,-14.0,30.0,0.914913273216852
pcb_copper_centroid,rf_endpoint_candidate,-20.0,-20.0,-22.0,-12.0,-2.0,8.0,0.9647841033257458
pcb_copper_centroid,rf_endpoint_candidate,0.0,-20.0,-46.0,30.0,-46.0,50.0,0.9623299297811003
pcb_copper_centroid,rf_endpoint_candidate,20.0,-20.0,-74.0,18.0,-94.0,38.0,0.9711717266075843
pcb_copper_centroid,rf_endpoint_candidate,40.0,-20.0,40.0,-20.0,0.0,0.0,0.9915699563619493
pcb_copper_centroid,rf_endpoint_candidate,60.0,-20.0,-22.0,36.0,-82.0,56.0,0.9590581068296475
pcb_copper_centroid,rf_endpoint_candidate,-60.0,-10.0,18.0,38.0,78.0,48.0,0.9325749337990535
pcb_copper_centroid,rf_endpoint_candidate,-40.0,-10.0,-76.0,20.0,-36.0,30.0,0.9446551536597108
pcb_copper_centroid,rf_endpoint_candidate,-20.0,-10.0,-4.0,18.0,16.0,28.0,0.9660498835307617
pcb_copper_centroid,rf_endpoint_candidate,0.0,-10.0,54.0,-20.0,54.0,-10.0,0.9826733608236592
pcb_copper_centroid,rf_endpoint_candidate,20.0,-10.0,74.0,40.0,54.0,50.0,0.9562038218344777
pcb_copper_centroid,rf_endpoint_candidate,40.0,-10.0,10.0,-40.0,-30.0,-30.0,0.9314692461546015
pcb_copper_centroid,rf_endpoint_candidate,60.0,-10.0,-52.0,34.0,-112.0,44.0,0.9588381895395033
pcb_copper_centroid,rf_endpoint_candidate,-60.0,0.0,32.0,34.0,92.0,34.0,0.9120115973222956
pcb_copper_centroid,rf_endpoint_candidate,-40.0,0.0,30.0,-20.0,70.0,-20.0,0.9536675287946369
pcb_copper_centroid,rf_endpoint_candidate,-20.0,0.0,32.0,-40.0,52.0,-40.0,0.9717624344197883
pcb_copper_centroid,rf_endpoint_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
