case_id,frame,time_s,x_m,y_m,z_m,slant_range_m,azimuth_deg,elevation_deg,mask_3db,mask_6db
ss0_flat,20,10.0,-32.0,4.0,0.0,32.264531609803356,-82.8749836510982,1.7760975850913958,0,0
ss0_flat,20,10.0,-31.0,4.0,0.0,31.27299154222378,-82.64762064010765,1.8324293676245171,0,0
ss0_flat,20,10.0,-30.0,4.0,0.0,30.282007859453444,-82.40535663140857,1.892417389241299,0,0
ss0_flat,20,10.0,-29.0,4.0,0.0,29.29163703175362,-82.14668669802178,1.956425822448075,0,0
ss0_flat,20,10.0,-28.0,4.0,0.0,28.301943396169815,-81.86989764584403,2.02486829727734,0,0
ss0_flat,20,10.0,-27.0,4.0,0.0,27.31300056749533,-81.57303097851933,2.0982164799094347,0,0
ss0_flat,20,10.0,-26.0,4.0,0.0,26.324893162176366,-81.2538377374448,2.177010473102101,0,0
ss0_flat,20,10.0,-25.0,4.0,0.0,25.337718918639858,-80.90972307917768,2.2618714978423675,0,0
ss0_flat,20,10.0,-24.0,4.0,0.0,24.35159132377184,-80.53767779197439,2.353517449860923,0,0
ss0_flat,20,10.0,-23.0,4.0,0.0,23.366642891095847,-80.13419305691563,2.452782103299482,0,0
ss0_flat,20,10.0,-22.0,4.0,0.0,22.38302928559939,-79.69515353123397,2.560638973149915,0,0
ss0_flat,20,10.0,-21.0,4.0,0.0,21.400934559032695,-79.2157021324374,2.678231170699035,0,0
ss0_flat,20,10.0,-20.0,4.0,0.0,20.420577856662135,-78.69006752597979,2.8069090235734,0,0
ss0_flat,20,10.0,-19.0,4.0,0.0,19.44222209522358,-78.11134196037202,2.948277827698434,0,0
ss0_flat,20,10.0,-18.0,4.0,0.0,18.466185312619388,-77.47119229084849,3.104258912424813,0,0
ss0_flat,20,10.0,-17.0,4.0,0.0,17.4928556845359,-76.7594800848128,3.2771683126184046,0,0
ss0_flat,20,10.0,-16.0,4.0,0.0,16.522711641858304,-75.96375653207353,3.469818855890064,0,0
ss0_flat,20,10.0,-15.0,4.0,0.0,15.556349186104047,-75.06858282186245,3.6856535095256104,0,0
ss0_flat,20,10.0,-14.0,4.0,0.0,14.594519519326424,-74.05460409907715,3.9289204963079416,0,0
ss0_flat,20,10.0,-13.0,4.0,0.0,13.638181696985857,-72.89727103094764,4.2049039747983485,0,0
ss0_flat,20,10.0,-12.0,4.0,0.0,12.688577540449522,-71.56505117707799,4.520227592644634,0,0
ss0_flat,20,10.0,-11.0,4.0,0.0,11.74734012447073,-70.01689347810003,4.883250449013462,0,0
ss0_flat,20,10.0,-10.0,4.0,0.0,10.816653826391967,-68.19859051364818,5.30457143909761,0,0
ss0_flat,20,10.0,-9.0,4.0,0.0,9.899494936611665,-66.03751102542182,5.797636329530628,0,0
ss0_flat,20,10.0,-8.0,4.0,0.0,9.0,-63.43494882292201,6.379370208442803,0,0
ss0_flat,20,10.0,-7.0,4.0,0.0,8.124038404635959,-60.25511870305778,7.070555116965825,0,0
ss0_flat,20,10.0,-6.0,4.0,0.0,7.280109889280518,-56.309932474020215,7.895142105045791,0,0
ss0_flat,20,10.0,-5.0,4.0,0.0,6.48074069840786,-51.34019174590991,8.876395080973342,0,0
ss0_flat,20,10.0,-4.0,4.0,0.0,5.7445626465380295,-45.0,10.024987862075742,0,0
ss0_flat,20,10.0,-3.0,4.0,0.0,5.0990195135927845,-36.86989764584402,11.309932474020213,0,0
